CRN,Course,Time,Days,Location,Seats Still Available,STATUS
9241,LDSP 395,0900-0950,MWF,LUTR 142,0,Closed
9242,LDSP 395,1200-1250,MWF,TRIB 208,15,Open
8923,LDSP 442,0930-1045,TR,FORBES 2014,0,Closed
8924,LDSP 442,1100-1215,TR,FORBES 2014,0,Closed
8925,LDSP 442,1100-1150,MWF,FORBES 2014,0,Closed
8926,LDSP 442,1200-1250,MWF,FORBES 2014,0,Closed
8927,LDSP 442,1500-1550,MWF,LUTR 347,9,Open
8928,LDSP 442,1400-1450,MWF,LUTR 347,1,Open
9284,LDSP 464,,,ARR ,0,Closed
8382,MATH 115,0900-0950,MWF,LUTR 372,28,Open
8383,MATH 115,1100-1150,MWF,LUTR 372,16,Open
8384,MATH 115,1300-1350,MWF,LUTR 269,23,Open
8385,MATH 115,0800-0915,TR,LUTR 372,29,Open
8386,MATH 115,1330-1445,TR,LUTR 372,21,Open
8387,MATH 120,0800-0915,TR,LUTR 376,16,Open
8397,MATH 125,1800-1915,MW,LUTR 372,26,Open
8398,MATH 125,0930-1045,TR,LUTR 372,26,Open
8399,MATH 125,1100-1215,TR,LUTR 372,28,Open
8400,MATH 125,1500-1615,TR,LUTR 372,48,Open
8401,MATH 125,1630-1745,TR,LUTR 372,31,Open
8388,MATH 125,0800-0850,MWF,LUTR 372,27,Open
8389,MATH 125,1000-1050,MWF,LUTR 372,21,Open
8390,MATH 125,1200-1250,MWF,LUTR 372,27,Open
8391,MATH 125,1300-1350,MWF,LUTR 372,29,Open
8392,MATH 125,1400-1450,MWF,LUTR 372,25,Open
8393,MATH 125,1400-1450,MWF,LUTR 376,30,Open
8394,MATH 125,1500-1550,MWF,LUTR 372,47,Open
8395,MATH 125,1600-1715,MW,LUTR 372,38,Open
8396,MATH 125,1600-1715,MW,LUTR 376,47,Open
8402,MATH 127,0900-0950,MWF,LUTR 242,1,Open
8403,MATH 130,0800-0850,MWF,LUTR 242,29,Open
8404,MATH 130,1000-1050,MWF,LUTR 242,12,Open
8405,MATH 130,1200-1250,MWF,LUTR 269,38,Open
8406,MATH 130,1500-1550,MWF,LUTR 269,39,Open
8407,MATH 130,0800-0915,TR,LUTR 269,14,Open
8408,MATH 130,1500-1615,TR,LUTR 269,27,Open
8409,MATH 131,1400-1450,MWF,LUTR 170,3,Open
8410,MATH 132,1200-1250,MWF,LUTR 242,9,Open
8411,MATH 132,1400-1450,MWF,LUTR 242,7,Open
8412,MATH 135,1100-1150,MWF,LUTR 269,15,Open
8413,MATH 135,1300-1350,MWF,LUTR 242,28,Open
8414,MATH 135,1100-1215,TR,LUTR 269,22,Open
8415,MATH 135,1630-1745,TR,LUTR 269,17,Open
8416,MATH 140,0900-0950; 0930-1020,MWF; TR,LUTR 376; LUTR 376,2,Open
8417,MATH 140,1100-1150,MTWRF,LUTR 376,8,Open
8418,MATH 140,1300-1350; 1330-1420,MWF; TR,LUTR 376; LUTR 376,3,Open
8419,MATH 140,1500-1550,MTWRF,LUTR 376,0,Closed
8420,MATH 148,1400-1450,MWF,LUTR 352,18,Open
8421,MATH 235,1200-1250,MWF,LUTR 170,24,Open
8422,MATH 235,0800-0915,TR,LUTR 352,12,Open
8423,MATH 240,0800-0915; 0800-0850,MW; F,FORBES 2070A; FORBES 2070A,24,Open
8424,MATH 240,1000-1115; 1000-1050,MW; F,FORBES 2070A; FORBES 2070A,14,Open
8425,MATH 240,1400-1515; 1400-1450,MW; F,FORBES 2070A; FORBES 2070A,20,Open
8426,MATH 245,1330-1445,TR,LUTR 269,18,Open
8427,MATH 247,0930-1045,TR,LUTR 352,11,Open
9175,MATH 247,1300-1350,MWF,LUTR 170,11,Open
8428,MATH 250,1000-1050,MWF,LUTR 376,17,Open
8429,MATH 260,1200-1250,MWF,LUTR 376,12,Open
8430,MATH 260,1100-1215,TR,LUTR 352,17,Open
8431,MATH 301,1200-1250,W,LUTR 352,6,Open
8432,MATH 301,1300-1350,W,LUTR 352,5,Open
8433,MATH 335,0900-0950,MWF,LUTR 269,12,Open
8434,MATH 360,1000-1050,MWF,LUTR 170,19,Open
8435,MATH 370,1100-1150,MWF,LUTR 352,12,Open
8436,MATH 380,0930-1045,TR,LUTR 269,6,Open
8437,MATH 447,1330-1445,TR,LUTR 352,18,Open
9300,MATH 499,,,ARR ,0,Closed
8438,MATH 538,,,ARR ,9,Open
8439,MATH 570,1600-1845,M,LUTR 352,6,Open
8440,MATH 570,1900-2145,M,LUTR 352,8,Open
8370,MGMT 400,1000-1050,MWF,FORBES 3014,0,Closed
8371,MGMT 400,1100-1150,MWF,FORBES 3014,11,Open
8372,MGMT 400,1400-1450,MWF,FORBES 3014,14,Open
8373,MGMT 410,1100-1150,MWF,LUTR 137,0,Closed
8374,MGMT 410,1300-1350,MWF,LUTR 137,6,Open
8375,MGMT 410,1400-1450,MWF,LUTR 137,17,Open
8376,MGMT 491,1330-1445,TR,LUTR 142,0,Closed
8377,MKTG 330,1300-1350,MWF,LUTR 105,7,Open
8378,MKTG 455,1330-1445,TR,LUTR 264,18,Open
8379,MKTG 455,1500-1615,TR,LUTR 264,5,Open
9258,MKTG 455,0930-1045,TR,LUTR 264,9,Open
8380,MKTG 460,1630-1745,TR,LUTR 264,5,Open
8381,MKTG 460,1800-1915,TR,LUTR 264,24,Open
8970,MLAN 205,0900-0950,MWF,MCM 162,17,Open
8971,MLAN 470,,,ARR ,0,Closed
8972,MLAN 490,1300-1350,MWF,MCM 312,9,Open
9008,MLAN 511,1600-1845,M,MCM 164,8,Open
9009,MLAN 570,,,ARR ,0,Closed
8441,MLSC 101,1100-1215,TR,MCM 112,0,Closed
8442,MLSC 101L,1500-1715,W,MCM 112,0,Closed
8443,MLSC 201,0930-1045,TR,MCM 112,16,Open
8444,MLSC 201L,1500-1715,W,MCM 112,16,Open
9237,MLSC 295,1500-1615,TR,MCM 112,25,Open
8445,MLSC 301,0800-0915,TR,MCM 112,5,Open
8446,MLSC 301L,1500-1715,W,MCM 112,5,Open
8447,MLSC 401,1330-1445,TR,MCM 112,7,Open
8448,MLSC 401L,1500-1715,W,MCM 112,7,Open
9078,MUSC 012,,,ARR ,74,Open
9079,MUSC 014,,,ARR ,0,Closed
9088,MUSC 014,,,ARR ,0,Closed
9089,MUSC 014,,,ARR ,0,Closed
9090,MUSC 014,,,ARR ,0,Closed
9091,MUSC 014,,,ARR ,0,Closed
9092,MUSC 014,,,ARR ,0,Closed
9093,MUSC 014,,,ARR ,0,Closed
9094,MUSC 014,,,ARR ,0,Closed
9095,MUSC 014,,,ARR ,0,Closed
9096,MUSC 014,1230-1320,T,FERG R118,0,Closed
9097,MUSC 014,1230-1320,R,FERG A183,0,Closed
9081,MUSC 014,1200-1250,W,FERG 213,0,Closed
9080,MUSC 014,,,ARR ,0,Closed
9082,MUSC 014,,,ARR ,0,Closed
9083,MUSC 014,,,ARR ,0,Closed
9084,MUSC 014,1200-1250,R,FERG R118,0,Closed
9085,MUSC 014,,,ARR ,0,Closed
9086,MUSC 014,1200-1250,W,FERG R106,0,Closed
9087,MUSC 014,,,ARR ,0,Closed
9098,MUSC 100,1630-1745,TR,FERG R118,40,Open
9099,MUSC 101,1630-1820,TR,FERG R106,36,Open
9100,MUSC 102,1630-1745,TR,FERG A183,47,Open
9101,MUSC 103,1300-1350,MWF,FERG R106,16,Open
9102,MUSC 104,,,ARR ,19,Open
9103,MUSC 104,1200-1250,MF,FERG 213,7,Open
9104,MUSC 105,1300-1430,MWF,FERG R118,0,Closed
9105,MUSC 107,1500-1700,MWF,FERG A183,19,Open
9106,MUSC 108,1400-1450,MWF,FERG R106,17,Open
9107,MUSC 112,1600-1750,MWF,FERG R106,199,Open
9108,MUSC 115,1100-1215,TR,FERG 213,13,Open
9109,MUSC 115,0800-0915,TR,FERG 213,13,Open
9110,MUSC 122,,,ARR ,19,Open
9111,MUSC 124,1500-1550,MWF,FERG R106,23,Open
9112,MUSC 125,0800-0850,MWF,FERG A183,25,Open
9113,MUSC 127,,,ARR ,17,Open
9114,MUSC 135,1100-1150,M,FERG 210,19,Open
9115,MUSC 138,1500-1615,TR,FERG 213,11,Open
9116,MUSC 143,1100-1215,TR,FERG 210,16,Open
9117,MUSC 200,1000-1050,MWF,FERG 213,11,Open
9118,MUSC 200,1400-1450,MWF,FERG 213,12,Open
9119,MUSC 209,0930-1045,TR,FERG 210,0,Closed
9120,MUSC 211,1000-1050,MWF,FERG 210,0,Closed
9122,MUSC 215,0930-1045,TR,FERG 213,11,Open
9123,MUSC 215,1330-1445,TR,FERG 213,13,Open
9124,MUSC 220,1330-1445,TR,FERG A183,17,Open
9125,MUSC 240,0900-0950,MWF,FERG R106,17,Open
9126,MUSC 260,1100-1150,MWF,FERG R118,16,Open
9127,MUSC 265,1100-1150,MWF,FERG A183,19,Open
9262,MUSC 275,1330-1445,TR,FERG R118,16,Open
9128,MUSC 303,1100-1215,TR,FERG 221,16,Open
9129,MUSC 305,1500-1615,TR,FERG 207,15,Open
9130,MUSC 309,1330-1445,TR,FERG 210,17,Open
9131,MUSC 311,0900-0950,MWF,FERG 210,17,Open
9132,MUSC 314,1000-1050,MWF,FERG R118,18,Open
9133,MUSC 315,1100-1150,MWF,FERG 213,10,Open
9134,MUSC 316,1000-1050,MWF,FERG A183,16,Open
9135,MUSC 337,1100-1215,TR,FERG A182,17,Open
9136,MUSC 415,0930-1045,R,FERG A183,17,Open
9137,MUSC 430,1500-1615,TR,FERG A183,19,Open
9138,MUSC 492,,,ARR ,0,Closed
9240,MUSC 495,1330-1445,TR,FERG 208,8,Open
9139,MUSC 510,1330-1445,TR,FERG A182,16,Open
9140,MUSC 520,1500-1615,TR,FERG R118,15,Open
9141,MUSC 530,1500-1615,TR,FERG A183,16,Open
9142,MUSC 545,1730-2015,M,FERG A182,14,Open
9143,MUSC 580,2000-2115,R,FERG R118,14,Open
8213,NEUR 201,1400-1450,MWF,FORBES 2070E,45,Open
8206,NEUR 300,0800-0915,TR,FORBES 2090,7,Open
8207,NEUR 301,1100-1215,TR,FORBES 2002,8,Open
8209,NEUR 301L,1330-1615,T,FORBES 2002,8,Open
8215,NEUR 305,1200-1250,MWF,FORBES 2070D,36,Open
8210,NEUR 316,0930-1045,TR,FORBES 2070A,14,Open
8211,NEUR 316,1000-1050,MWF,FORBES 2074,5,Open
8212,NEUR 410,0900-0950,MWF,FORBES 2070C,27,Open
8216,NEUR 490,1330-1445,TR,FORBES 2088,7,Open
8768,PCSE 699,1200-1250,M,LUTR 322,25,Open
8771,PHIL 101,1930-2045,TR,MCM 260,16,Open
8772,PHIL 101,2100-2215,TR,MCM 260,19,Open
9212,PHIL 101,1000-1050,MWF,MCM 362,9,Open
8773,PHIL 201,0930-1045,TR,MCM 366,11,Open
8775,PHIL 201,1200-1250,MWF,MCM 114,2,Open
8776,PHIL 201,1300-1350,MWF,MCM 360,3,Open
8777,PHIL 202,0800-0915,TR,MCM 366,4,Open
8778,PHIL 202,1100-1215,TR,TFAC 204,5,Open
8779,PHIL 202,1330-1445,TR,MCM 114,0,Closed
8780,PHIL 202,1630-1745,TR,MCM 260,11,Open
8781,PHIL 205,1930-2045,MW,MCM 216,27,Open
9263,PHIL 205,1800-1915,MW,MCM 216,25,Open
8783,PHIL 207,1100-1215,TR,MCM 207,5,Open
8784,PHIL 207,1800-1915,MW,MCM 362,6,Open
8786,PHIL 207,1600-1715,MW,MCM 362,3,Open
8787,PHIL 207,2100-2215,MW,MCM 216,14,Open
8788,PHIL 207,1500-1615,TR,TRIB 208,4,Open
9214,PHIL 207,0800-0850,MWF,MCM 210,4,Open
9215,PHIL 207,0900-0950,MWF,MCM 210,23,Open
9217,PHIL 207,0800-0915,TR,MCM 160,23,Open
9216,PHIL 215,0930-1045,TR,TRIB 1213,2,Open
8790,PHIL 320,0930-1045,TR,MCM 314,9,Open
8791,PHIL 321,1800-2045,R,MCM 160,11,Open
8792,PHIL 344,1800-2045,T,MCM 257,0,Closed
8793,PHIL 376,1400-1450,MWF,MCM 312,3,Open
8794,PHIL 376,1500-1550,MWF,MCM 312,12,Open
9265,PHIL 384,1330-1445,TR,TRIB 1213,0,Closed
8796,PHIL 386,1600-1715,MW,MCM 312,10,Open
8797,PHIL 425,1330-1445,TR,MCM 200B,10,Open
8798,PHIL 451,1400-1450,MWF,MCM 200D,13,Open
8799,PHIL 490,1300-1350,MWF,MCM 200C,12,Open
8302,PHYS 105L,1800-2045,R,LUTR 301,25,Open
8303,PHYS 105L,1800-2045,W,LUTR 301,17,Open
8449,PHYS 141,1500-1615,TR,LUTR 170,17,Open
8450,PHYS 141,0930-1045,TR,LUTR 170,1,Open
8304,PHYS 151,1800-1915,MW,LUTR 121,88,Open
8305,PHYS 151,1100-1215,TR,FORBES 1022,58,Open
8306,PHYS 151,1500-1615,TR,LUTR 121,85,Open
8307,PHYS 151L,1330-1615,R,LUTR 306,22,Open
8308,PHYS 151L,1430-1715,W,LUTR 306,23,Open
8309,PHYS 151L,1100-1345,W,LUTR 306,21,Open
8310,PHYS 151L,0800-1045,R,LUTR 306,32,Open
8311,PHYS 151L,1800-2045,W,LUTR 306,25,Open
8312,PHYS 151L,0800-1045,F,LUTR 306,33,Open
8313,PHYS 151L,1800-2045,R,LUTR 306,14,Open
8314,PHYS 151L,0800-1045,W,LUTR 306,27,Open
8315,PHYS 152,1100-1150,MWF,LUTR 170,12,Open
8316,PHYS 152L,1800-2045,R,LUTR 310,10,Open
8317,PHYS 201,0800-0915,TR,LUTR 322,3,Open
8318,PHYS 201,0930-1045,TR,LUTR 322,13,Open
8319,PHYS 201,1630-1745,TR,LUTR 322,1,Open
8320,PHYS 201L,1800-2045,M,LUTR 310,1,Open
8321,PHYS 201L,1330-1615,T,LUTR 310,0,Closed
8322,PHYS 201L,1430-1715,M,LUTR 310,12,Open
8323,PHYS 201L,1800-2045,T,LUTR 310,17,Open
8324,PHYS 202,0800-0850,MWF,LUTR 269,20,Open
8325,PHYS 202L,1800-2045,M,LUTR 301,20,Open
8326,PHYS 303,1300-1350,MWF,LUTR 301,31,Open
8327,PHYS 304,1100-1150,MWF,LUTR 322,29,Open
8328,PHYS 341,0900-0950,MWF,LUTR 121,37,Open
8330,PHYS 351,1330-1445,TR,LUTR 301,24,Open
8331,PHYS 401,0930-1045,TR,LUTR 301,11,Open
8332,PHYS 441,1000-1050,MWF,LUTR 204,12,Open
8333,PHYS 498,1400-1515,F,LUTR 301,22,Open
8334,PHYS 501,0930-1045,TR,LUTR 301,7,Open
9279,PHYS 541,1000-1050,MWF,LUTR 204,5,Open
8202,PMED 010,1230-1320,TR,FORBES 1022,80,Open
8203,PMED 020,1230-1320,TR,FORBES 1022,28,Open
8204,PMED 030,1230-1320,TR,FORBES 1022,30,Open
8205,PMED 040,1230-1320,TR,FORBES 1022,21,Open
8516,POLS 100,1100-1215,TR,MCM 364,20,Open
8517,POLS 100,1600-1715,MW,MCM 357,17,Open
8518,POLS 101,1000-1050,MWF,MCM 101,36,Open
8519,POLS 101,1100-1150,MWF,MCM 312,11,Open
8520,POLS 101,1200-1250,MWF,MCM 312,14,Open
8521,POLS 101,1300-1350,MWF,MCM 314,0,Closed
8522,POLS 101,1400-1450,MWF,MCM 314,0,Closed
8523,POLS 202,1800-2100,T,MCM 216,9,Open
8524,POLS 215,1000-1050,MWF,MCM 207,9,Open
8525,POLS 215,1100-1150,MWF,MCM 207,5,Open
8526,POLS 215,1500-1615,TR,MCM 362,0,Closed
8527,POLS 215,1630-1745,TR,MCM 362,15,Open
8528,POLS 215,1800-2100,M,FORBES 2070A,2,Open
8531,POLS 311,1500-1550,MWF,MCM 357,12,Open
9277,POLS 317,1330-1445,TR,MCM 307,2,Open
9278,POLS 317,1500-1615,TR,MCM 307,2,Open
8532,POLS 327,1330-1445,TR,MCM 257,3,Open
9207,POLS 331,1600-1715,MW,MCM 316,2,Open
8535,POLS 344,1100-1215,TR,MCM 314,0,Closed
8536,POLS 344,1330-1445,TR,MCM 314,12,Open
8537,POLS 352,1100-1215,TR,MCM 110,3,Open
8538,POLS 352,1200-1250,MWF,MCM 110,5,Open
9228,POLS 358,1330-1445,TR,MCM 364,14,Open
8539,POLS 363,1800-1915,TR,MCM 307,16,Open
8540,POLS 371,1800-2100,R,MCM 216,8,Open
8541,POLS 381,1200-1250,MWF,MCM 364,3,Open
8542,POLS 381,1300-1350,MWF,MCM 364,10,Open
8543,POLS 391,1500-1615,TR,MCM 312,9,Open
9234,POLS 395,0930-1045,TR,MCM 210,7,Open
9280,POLS 395,0900-0950,MWF,MCM 207,14,Open
8544,POLS 402,0900-0950,MWF,TRIB 1210,12,Open
8545,POLS 402,1000-1050,MWF,TRIB 1210,11,Open
8546,POLS 490,1100-1150,MWF,MCM 200D,0,Closed
8547,POLS 490,0930-1045,TR,MCM 200C,0,Closed
8548,POLS 491,,,ARR ,10,Open
8452,PSYC 201,1300-1350,MWF,MCM 101,47,Open
8453,PSYC 201,1100-1150,MWF,FORBES 1022,41,Open
8454,PSYC 201,0930-1045,TR,FORBES 1022,71,Open
8455,PSYC 202,1400-1450,MWF,MCM 101,28,Open
8456,PSYC 202,0930-1045,TR,MCM 101,39,Open
8457,PSYC 207,1500-1615,TR,FORBES 2074,27,Open
8458,PSYC 208,0800-0850,MWF,FORBES 2074,27,Open
8459,PSYC 208,0900-0950,MWF,FORBES 2074,16,Open
8460,PSYC 208,1100-1215,TR,FORBES 2074,13,Open
8461,PSYC 300,0800-0850,MWF,FORBES 2090,31,Open
8462,PSYC 300,0900-0950,MWF,FORBES 2090,27,Open
8463,PSYC 300,1330-1445,TR,FORBES 2090,32,Open
8464,PSYC 301,1500-1550,MWF,FORBES 2090,5,Open
8465,PSYC 301,1000-1050,MWF,FORBES 2009,0,Closed
8466,PSYC 301,1000-1050,MWF,FORBES 2090,0,Closed
8467,PSYC 301,1300-1350,MWF,FORBES 2090,9,Open
8468,PSYC 301L,1600-1715,MW,FORBES 2090,5,Open
8469,PSYC 301L,1100-1150,MWF,FORBES 2009,0,Closed
8470,PSYC 301L,1100-1150,MWF,FORBES 2090,0,Closed
8471,PSYC 301L,1400-1450,MWF,FORBES 2090,9,Open
8472,PSYC 304,1100-1215,TR,FERG 201,3,Open
8473,PSYC 304,1400-1450,MWF,FORBES 2015,3,Open
8474,PSYC 306,0900-0950,MWF,FORBES 2015,34,Open
8475,PSYC 306,1330-1445,TR,FORBES 2074,10,Open
8476,PSYC 312,1300-1350,MWF,FORBES 2070D,22,Open
8477,PSYC 312,1930-2045,MW,FORBES 2070E,37,Open
8480,PSYC 314,1100-1215,TR,FORBES 2070A,13,Open
8481,PSYC 314,1330-1445,TR,FORBES 2070A,20,Open
8482,PSYC 315,0930-1045,TR,FERG 201,31,Open
8483,PSYC 315,1600-1715,MW,FORBES 2070E,32,Open
8484,PSYC 316,0930-1045,TR,FORBES 2070A,10,Open
8485,PSYC 316,1000-1050,MWF,FORBES 2074,4,Open
8486,PSYC 336,1800-2045,M,FORBES 2074,0,Closed
8487,PSYC 340,1500-1615,TR,FORBES 2014,12,Open
8488,PSYC 350,0800-0915,TR,FORBES 2074,12,Open
8489,PSYC 360,0930-1045,TR,FORBES 2009,8,Open
8490,PSYC 404,1300-1350,MWF,FORBES 2009,5,Open
8491,PSYC 404L,1400-1645,W,FORBES 2009,5,Open
8492,PSYC 405,0800-0850,MWF,FORBES 2015,0,Closed
8493,PSYC 405L,0900-0950,MWF,FORBES 2002,0,Closed
8494,PSYC 405L,1000-1050,MWF,FORBES 2002,0,Closed
8495,PSYC 409,1800-2045,W,FORBES 2070C,5,Open
8496,PSYC 409L,1630-1745,TR,FORBES 2088,0,Closed
8497,PSYC 409L,1800-1915,TR,FORBES 2088,7,Open
8498,PSYC 415,0900-0950,MWF,FORBES 2009,0,Closed
8499,PSYC 415L,1400-1645,M,FORBES 2009,0,Closed
8500,PSYC 420,1630-1745,TR,FORBES 2015,23,Open
8504,PSYC 490,0800-0850,MWF,FORBES 2002,10,Open
8505,PSYC 490,1100-1150,MWF,FORBES 2002,0,Closed
8506,PSYC 490,1100-1215,TR,FORBES 2012,0,Closed
8507,PSYC 490,1330-1445,TR,FORBES 2014,0,Closed
9266,PSYC 495,1100-1215,TR,FORBES 2009,0,Closed
9267,PSYC 495L,1330-1445,TR,FORBES 2009,0,Closed
8509,PSYC 521,1630-1915,T,FORBES 2070E,9,Open
8508,PSYC 521,1600-1845,M,HYB ,11,Open
8510,PSYC 521L,0930-1045,T,FORBES 2002,5,Open
8511,PSYC 521L,1630-1745,T,FORBES 2014,11,Open
8512,PSYC 535,1600-1845,W,FORBES 2070A,4,Open
8513,PSYC 535,1630-1915,R,FORBES 2074,5,Open
8514,PSYC 544,1600-1845,W,SYN ,11,Open
8800,RSTD 210,1200-1250,MWF,MCM 200B,0,Closed
8801,RSTD 211,1500-1615,TR,MCM 101,42,Open
8802,RSTD 211,0900-0950,MWF,MCM 366,0,Closed
8807,RSTD 212,1500-1550,MWF,MCM 260,0,Closed
8808,RSTD 212,1400-1450,MWF,MCM 260,1,Open
8809,RSTD 212,1600-1715,MW,MCM 262,0,Closed
9218,RSTD 212,1800-1915,MW,MCM 260,3,Open
9219,RSTD 212,1930-2045,MW,MCM 260,8,Open
8811,RSTD 218,1000-1050,MWF,FORBES 3012,2,Open
8812,RSTD 232,1330-1445,TR,MCM 216,0,Closed
8813,RSTD 232,0900-0950,MWF,MCM 362,0,Closed
8814,RSTD 232,1100-1215,TR,TRIB 1213,0,Closed
8816,RSTD 236,2100-2215,MW,FERG 208,1,Open
8817,RSTD 260,1000-1050,MWF,MCM 200C,2,Open
8819,RSTD 265,2100-2215,MW,MCM 257,3,Open
8823,RSTD 350,1100-1150,MWF,MCM 200C,12,Open
8824,RSTD 362,0930-1045,TR,MCM 207,16,Open
8556,SOCL 201,1330-1445,TR,MCM 362,0,Closed
8557,SOCL 205,0800-0850,MWF,MCM 360,15,Open
8558,SOCL 205,0900-0950,MWF,MCM 360,19,Open
8561,SOCL 306,1100-1215,TR,FERG 201,17,Open
8562,SOCL 306,1400-1450,MWF,FORBES 2015,14,Open
8563,SOCL 308,1100-1215,TR,MCM 164,10,Open
9294,SOCL 309,1330-1445,TR,FORBES 2070C,8,Open
8565,SOCL 313,1100-1215,TR,MCM 310,5,Open
8566,SOCL 314,1600-1715,MW,LUTR 269,15,Open
8567,SOCL 314,1800-1915,MW,LUTR 269,17,Open
8580,SOCL 314L,1100-1215,M,MCM 300B,2,Open
8581,SOCL 314L,1500-1615,W,MCM 200B,1,Open
8582,SOCL 314L,1500-1615,W,LUTR 131,11,Open
8568,SOCL 316,1330-1445,TR,LUTR 167,11,Open
8569,SOCL 316,1500-1615,TR,LUTR 167,9,Open
9304,SOCL 319,0930-1045,TR,MCM 310,5,Open
9287,SOCL 335,1600-1715,MW,LUTR 347,0,Closed
8570,SOCL 340,1000-1050,MWF,LUTR 157,8,Open
8571,SOCL 340,1100-1150,MWF,LUTR 157,10,Open
8572,SOCL 374,1100-1150,MWF,LUTR 167,0,Closed
8573,SOCL 374,1200-1250,MWF,LUTR 167,0,Closed
8574,SOCL 390,1100-1150,MWF,LUTR 131,12,Open
9246,SOCL 395,1800-2045,R,LUTR 376,1,Open
8575,SOCL 470,1100-1215,TR,LUTR 167,0,Closed
8576,SOCL 470,0930-1045,TR,TRIB 1210,0,Closed
8577,SOCL 490,0930-1045,TR,LUTR 167,8,Open
8578,SOCL 490,0930-1045,TR,LUTR 157,1,Open
8579,SOCL 491,,,ARR ,3,Open
8583,SOCL 501,,,ASY ,0,Closed
8584,SOCL 501,,,ASY ,12,Open
8585,SOWK 201,1630-1745,TR,LUTR 242,34,Open
8586,SOWK 210,1800-1915,TR,LUTR 242,11,Open
8587,SOWK 301,1330-1445,TR,LUTR 137,24,Open
8593,SOWK 301L,0930-1215,TR,LUTR 242,24,Open
8589,SOWK 401,1200-1350,M,LUTR 157,7,Open
8590,SOWK 401,1200-1350,W,LUTR 157,8,Open
8591,SOWK 401,1200-1350,W,LUTR 131,6,Open
8592,SOWK 493,1800-2045,M,LUTR 167,19,Open
8973,SPAN 101,1330-1445,TR,MCM 360,12,Open
8974,SPAN 101,0800-0850,MWF,FERG 207,12,Open
8975,SPAN 101,0900-0950,MWF,FERG 207,11,Open
8976,SPAN 101,1000-1050,MWF,FERG 207,11,Open
8977,SPAN 101,1100-1150,MWF,MCM 210,11,Open
8978,SPAN 102,0900-0950,MWF,MCM 262,7,Open
8979,SPAN 102,1000-1050,MWF,MCM 262,7,Open
8980,SPAN 102,1400-1450,MWF,MCM 357,11,Open
8981,SPAN 200,0930-1045,TR,MCM 312,14,Open
8990,SPAN 200,1800-1915,MW,MCM 314,0,Closed
8991,SPAN 200,1500-1615,TR,MCM 160,10,Open
8992,SPAN 200,1630-1745,TR,MCM 160,15,Open
8993,SPAN 200,1630-1745,TR,MCM 366,19,Open
8994,SPAN 200,1800-1915,TR,MCM 314,2,Open
8995,SPAN 200,1200-1250,MWF,MCM 357,0,Closed
8996,SPAN 200,1300-1350,MWF,MCM 307,8,Open
8997,SPAN 200,1100-1150,MWF,MCM 357,0,Closed
8982,SPAN 200,1630-1745,TR,MCM 314,0,Closed
8983,SPAN 200,1800-1915,TR,MCM 366,13,Open
8984,SPAN 200,1000-1050,MWF,MCM 210,1,Open
8985,SPAN 200,1330-1445,TR,FERG 207,0,Closed
8986,SPAN 200,0800-0850,MWF,MCM 314,13,Open
8987,SPAN 200,0900-0950,MWF,MCM 314,8,Open
8988,SPAN 200,0800-0915,TR,MCM 312,15,Open
8989,SPAN 200,1800-1915,TR,MCM 357,12,Open
8998,SPAN 201,0930-1045,TR,MCM 360,13,Open
8999,SPAN 201,1100-1215,TR,MCM 360,14,Open
9000,SPAN 202,1330-1445,TR,MCM 164,11,Open
9001,SPAN 301,1100-1215,TR,TRIB 208,10,Open
9002,SPAN 301,1500-1615,TR,MCM 164,14,Open
9003,SPAN 308,1100-1215,TR,MCM 257,6,Open
9004,SPAN 308,1330-1445,TR,FERG 221,12,Open
9005,SPAN 314,1200-1250,MWF,MCM 314,8,Open
9006,SPAN 330,1100-1150,MWF,MCM 314,7,Open
9007,SPAN 351,0930-1045,TR,FERG 207,9,Open
9170,TCHG 518L,1630-1720,R,FORBES 2014,9,Open
9171,TCHG 518L,1900-1950,W,FORBES 2014,0,Closed
9144,THEA 130,,,ARR ,0,Closed
9145,THEA 130,,,ARR ,0,Closed
9146,THEA 130,,,ARR ,0,Closed
9147,THEA 151,1330-1445,TR,FERG 223,10,Open
9148,THEA 200,1400-1450,MWF,FERG 210,8,Open
9149,THEA 210,1100-1150,MWF,FERG 221,0,Closed
9150,THEA 210,0930-1045,TR,FERG 221,0,Closed
9151,THEA 232,1300-1415,MW,FERG T107,0,Closed
9152,THEA 232,1630-1745,TR,FERG T107,16,Open
9153,THEA 232,1330-1445,TR,FERG T107,5,Open
9154,THEA 250,0930-1045,TR,FERG 223,10,Open
9155,THEA 250L,,,ARR ,0,Closed
9156,THEA 252,0930-1045,MW,FERG 222,11,Open
9157,THEA 258,1100-1215,MW,FERG 222,8,Open
9158,THEA 310,1500-1550,MWF,FERG 210,1,Open
9160,THEA 333,1430-1545,MW,FERG T107,7,Open
9161,THEA 334,1100-1215,MW,FERG T107,0,Closed
9163,THEA 346,1100-1215,TR,FERG 208,17,Open
9164,THEA 353,1100-1215,TR,FERG 223,8,Open
9165,THEA 355,1300-1415,MW,FERG 223,10,Open
9166,THEA 380,1900-2300,MTWRF,ARR ,0,Closed
9167,THEA 380,1900-2300,MTWRF,ARR ,0,Closed
9233,THEA 395,1100-1215,TR,FERG T107,14,Open
9168,THEA 463,1300-1350,MWF,FERG 210,12,Open
9169,THEA 498,,,ARR ,8,Open
